Case_ID, Slide_ID, mae, mse, ssim, anomaly
FCB038, 24, 0.12851925194263458, 0.05662141740322113, 0.7150025963783264, 0.007778228460420748
FCB038, 25, 0.1237550899386406, 0.053926486521959305, 0.7263757586479187, 0.007392587240065916
FCB038, 26, 0.11754285544157028, 0.04990306496620178, 0.736922562122345, 0.007067350601628005
FCB038, 27, 0.11338429898023605, 0.048103004693984985, 0.741246223449707, 0.008120366037905228
FCB038, 28, 0.10842327028512955, 0.045480791479349136, 0.7466448545455933, 0.008617565263260487
FCB038, 29, 0.10141171514987946, 0.04077906534075737, 0.7591655850410461, 0.006489550309610969
FCB038, 30, 0.09014660865068436, 0.03383465111255646, 0.7711640000343323, 0.003809792009721878
5108968, 1, 0.08901804685592651, 0.02962481789290905, 0.7620548605918884, 0.002750411862020671
5108968, 2, 0.09156552702188492, 0.03072522021830082, 0.7563448548316956, 0.002125173583905819
5108968, 3, 0.09515179693698883, 0.03258677199482918, 0.7515895366668701, 0.002572603441169402
5108968, 4, 0.09484179317951202, 0.03219478949904442, 0.7529410123825073, 0.0006807330041424091
5108968, 5, 0.09448928385972977, 0.031799837946891785, 0.7519615292549133, 0.001005376619633063
5108968, 6, 0.09189341217279434, 0.030075378715991974, 0.7549033761024475, 0.0013845506834731492
5108968, 7, 0.09198254346847534, 0.03035658411681652, 0.7563421726226807, 0.0025133260593495467
5108968, 8, 0.09108295291662216, 0.029906854033470154, 0.7630199193954468, 0.0007668291915912912
5108968, 9, 0.09025375545024872, 0.029432103037834167, 0.7673400640487671, 0.0010177242740644506
5108968, 10, 0.08671584725379944, 0.027297958731651306, 0.7686802744865417, 0.002525161648552015
5108968, 11, 0.08878325670957565, 0.028555288910865784, 0.7632590532302856, 0.0032114567123358428
5108968, 12, 0.09280064702033997, 0.031050343066453934, 0.7584591507911682, 0.006682613067229838
5108968, 13, 0.0915742889046669, 0.03041958436369896, 0.7533969283103943, 0.004602060725693389
5108968, 14, 0.08970227837562561, 0.029267774894833565, 0.7523482441902161, 0.0026991363355921283
5108968, 15, 0.08666888624429703, 0.027430523186922073, 0.7603999972343445, 0.002365297756078634
5108968, 16, 0.08600257337093353, 0.02718641608953476, 0.764071524143219, 0.0053999331173785
5108968, 17, 0.08648665994405746, 0.027660874649882317, 0.7621132731437683, 0.006361896043219147
5108968, 18, 0.08846939355134964, 0.029096350073814392, 0.7578305602073669, 0.008430703989345416
5108968, 19, 0.08791913837194443, 0.02905406430363655, 0.7612850666046143, 0.006122757480137997
5108968, 20, 0.08626376837491989, 0.02865915186703205, 0.7626080513000488, 0.006370342836969569
5108968, 21, 0.08542116731405258, 0.029077868908643723, 0.760077178478241, 0.01091860067689509
5108968, 22, 0.08239640295505524, 0.02775300107896328, 0.7640660405158997, 0.008674563566818295
5108968, 23, 0.07716401666402817, 0.024682920426130295, 0.7723686695098877, 0.004722034491492439
