Case_ID, Slide_ID, mae, mse, ssim, anomaly
FCB038, 3, 0.0539763942360878, 0.013635648414492607, 0.8392868638038635, 9.035706232876794e-09
FCB038, 4, 0.05522290617227554, 0.014062566682696342, 0.839386522769928, 2.01176392648636e-08
FCB038, 5, 0.058793358504772186, 0.015786942094564438, 0.8286856412887573, 0.0
FCB038, 6, 0.06079142540693283, 0.016536042094230652, 0.8258852362632751, 5.394250800002893e-05
FCB038, 7, 0.06178668886423111, 0.016850974410772324, 0.8217791318893433, 4.145601845683132e-09
FCB038, 8, 0.06212804839015007, 0.016942940652370453, 0.8215523958206177, 1.6682542482904773e-08
FCB038, 9, 0.06383363902568817, 0.01800413616001606, 0.8208765387535095, 4.6465363482590526e-10
FCB038, 10, 0.06498521566390991, 0.01860831491649151, 0.8220106363296509, 2.2639909040325946e-05
FCB038, 11, 0.0648513212800026, 0.01812015101313591, 0.8266159892082214, 1.5280342293627156e-07
FCB038, 12, 0.06770803779363632, 0.019945820793509483, 0.8202868700027466, 0.00011083952161764724
FCB038, 13, 0.07105212658643723, 0.02227499522268772, 0.8130297064781189, 0.0007558727261433964
FCB038, 14, 0.06925471872091293, 0.021378548815846443, 0.8161687254905701, 0.0002220620920793293
FCB038, 15, 0.0663045197725296, 0.019742680713534355, 0.8166040778160095, 0.0008493142438375997
FCB038, 16, 0.06598742306232452, 0.0202044490724802, 0.809923529624939, 0.0005506117117771325
FCB038, 17, 0.06435205042362213, 0.019709335640072823, 0.8024531602859497, 0.0002948938328854422
FCB038, 18, 0.05839119106531143, 0.017425745725631714, 0.8057254552841187, 0.0007256080890892204
FCB038, 19, 0.04970872402191162, 0.012914984486997128, 0.8104641437530518, 0.00017080594354661188
FCB038, 20, 0.04847599193453789, 0.012068224139511585, 0.8138060569763184, 4.046476912177385e-06
FCB038, 21, 0.05470273271203041, 0.014341327361762524, 0.8155571222305298, 0.0
FCB038, 22, 0.05732903629541397, 0.015816057100892067, 0.8096195459365845, 0.0
FCB038, 23, 0.06037186086177826, 0.017788494005799294, 0.8061884641647339, 9.697288053107082e-06
FCB038, 24, 0.06020541489124298, 0.017400724813342094, 0.8095977902412415, 3.698173093555287e-05
FCB038, 25, 0.059863537549972534, 0.016506263986229897, 0.8159857392311096, 0.000154759774560759
FCB038, 26, 0.06107991933822632, 0.01672832854092121, 0.8226436376571655, 4.538478732759084e-05
FCB038, 27, 0.06257064640522003, 0.017422500997781754, 0.8251959085464478, 2.4242852208810105e-05
FCB038, 28, 0.06070347875356674, 0.017115889117121696, 0.8259625434875488, 0.00022115963001054963
FCB038, 29, 0.05863882601261139, 0.01564742811024189, 0.8279461860656738, 0.0005683815120572979
FCB038, 30, 0.05820085108280182, 0.015272757038474083, 0.8266626000404358, 0.0004553913530910497
5108968, 1, 0.037815287709236145, 0.007995937950909138, 0.8623788356781006, 0.0001587097763823373
5108968, 2, 0.0386749729514122, 0.00841059535741806, 0.8536536693572998, 5.0137574631435396e-05
5108968, 3, 0.041842591017484665, 0.00924594234675169, 0.847152829170227, 6.076225708248038e-05
5108968, 4, 0.04399294778704643, 0.009982925839722157, 0.8402476906776428, 1.0093246977445006e-05
5108968, 5, 0.04534382373094559, 0.010288754478096962, 0.8376222848892212, 5.797732384459671e-06
5108968, 6, 0.04632258415222168, 0.010887423530220985, 0.8223806619644165, 0.00019596205566750133
5108968, 7, 0.04679692164063454, 0.011485938914120197, 0.8199335932731628, 0.001965981339409071
5108968, 8, 0.05010689049959183, 0.013030306436121464, 0.8183863162994385, 0.0007416769486898817
5108968, 9, 0.04920877888798714, 0.012918947264552116, 0.8199895620346069, 0.0029673873638349025
5108968, 10, 0.05258273705840111, 0.015833111479878426, 0.8146325349807739, 0.00863909613899129
5108968, 11, 0.05196714773774147, 0.014626800082623959, 0.8120782971382141, 0.00531879020669358
5108968, 12, 0.05476386100053787, 0.01659124530851841, 0.8101219534873962, 0.006902485187876345
5108968, 13, 0.056768033653497696, 0.01833435334265232, 0.810489296913147, 0.005048872301662712
5108968, 14, 0.057610124349594116, 0.01781211979687214, 0.8059849143028259, 0.00774389327777223
5108968, 15, 0.06033780798316002, 0.019590474665164948, 0.7826708555221558, 0.00612483551107668
5108968, 16, 0.06262025237083435, 0.020484648644924164, 0.7633830904960632, 0.0022100163206737397
5108968, 17, 0.07471176236867905, 0.02800818718969822, 0.7294113636016846, 0.003532174032539412
5108968, 18, 0.08137716352939606, 0.034093137830495834, 0.7214064002037048, 0.0096998235851178
